"date","unrate"
Jan 1948,3.4
Feb 1948,3.8
Mar 1948,4
Apr 1948,3.9
May 1948,3.5
Jun 1948,3.6
Jul 1948,3.6
Aug 1948,3.9
Sep 1948,3.8
Oct 1948,3.7
Nov 1948,3.8
Dec 1948,4
Jan 1949,4.3
Feb 1949,4.7
Mar 1949,5
Apr 1949,5.3
May 1949,6.1
Jun 1949,6.2
Jul 1949,6.7
Aug 1949,6.8
Sep 1949,6.6
Oct 1949,7.9
Nov 1949,6.4
Dec 1949,6.6
Jan 1950,6.5
Feb 1950,6.4
Mar 1950,6.3
Apr 1950,5.8
May 1950,5.5
Jun 1950,5.4
Jul 1950,5
Aug 1950,4.5
Sep 1950,4.4
Oct 1950,4.2
Nov 1950,4.2
Dec 1950,4.3
Jan 1951,3.7
Feb 1951,3.4
Mar 1951,3.4
Apr 1951,3.1
May 1951,3
Jun 1951,3.2
Jul 1951,3.1
Aug 1951,3.1
Sep 1951,3.3
Oct 1951,3.5
Nov 1951,3.5
Dec 1951,3.1
Jan 1952,3.2
Feb 1952,3.1
Mar 1952,2.9
Apr 1952,2.9
May 1952,3
Jun 1952,3
Jul 1952,3.2
Aug 1952,3.4
Sep 1952,3.1
Oct 1952,3
Nov 1952,2.8
Dec 1952,2.7
Jan 1953,2.9
Feb 1953,2.6
Mar 1953,2.6
Apr 1953,2.7
May 1953,2.5
Jun 1953,2.5
Jul 1953,2.6
Aug 1953,2.7
Sep 1953,2.9
Oct 1953,3.1
Nov 1953,3.5
Dec 1953,4.5
Jan 1954,4.9
Feb 1954,5.2
Mar 1954,5.7
Apr 1954,5.9
May 1954,5.9
Jun 1954,5.6
Jul 1954,5.8
Aug 1954,6
Sep 1954,6.1
Oct 1954,5.7
Nov 1954,5.3
Dec 1954,5
Jan 1955,4.9
Feb 1955,4.7
Mar 1955,4.6
Apr 1955,4.7
May 1955,4.3
Jun 1955,4.2
Jul 1955,4
Aug 1955,4.2
Sep 1955,4.1
Oct 1955,4.3
Nov 1955,4.2
Dec 1955,4.2
Jan 1956,4
Feb 1956,3.9
Mar 1956,4.2
Apr 1956,4
May 1956,4.3
Jun 1956,4.3
Jul 1956,4.4
Aug 1956,4.1
Sep 1956,3.9
Oct 1956,3.9
Nov 1956,4.3
Dec 1956,4.2
Jan 1957,4.2
Feb 1957,3.9
Mar 1957,3.7
Apr 1957,3.9
May 1957,4.1
Jun 1957,4.3
Jul 1957,4.2
Aug 1957,4.1
Sep 1957,4.4
Oct 1957,4.5
Nov 1957,5.1
Dec 1957,5.2
Jan 1958,5.8
Feb 1958,6.4
Mar 1958,6.7
Apr 1958,7.4
May 1958,7.4
Jun 1958,7.3
Jul 1958,7.5
Aug 1958,7.4
Sep 1958,7.1
Oct 1958,6.7
Nov 1958,6.2
Dec 1958,6.2
Jan 1959,6
Feb 1959,5.9
Mar 1959,5.6
Apr 1959,5.2
May 1959,5.1
Jun 1959,5
Jul 1959,5.1
Aug 1959,5.2
Sep 1959,5.5
Oct 1959,5.7
Nov 1959,5.8
Dec 1959,5.3
Jan 1960,5.2
Feb 1960,4.8
Mar 1960,5.4
Apr 1960,5.2
May 1960,5.1
Jun 1960,5.4
Jul 1960,5.5
Aug 1960,5.6
Sep 1960,5.5
Oct 1960,6.1
Nov 1960,6.1
Dec 1960,6.6
Jan 1961,6.6
Feb 1961,6.9
Mar 1961,6.9
Apr 1961,7
May 1961,7.1
Jun 1961,6.9
Jul 1961,7
Aug 1961,6.6
Sep 1961,6.7
Oct 1961,6.5
Nov 1961,6.1
Dec 1961,6
Jan 1962,5.8
Feb 1962,5.5
Mar 1962,5.6
Apr 1962,5.6
May 1962,5.5
Jun 1962,5.5
Jul 1962,5.4
Aug 1962,5.7
Sep 1962,5.6
Oct 1962,5.4
Nov 1962,5.7
Dec 1962,5.5
Jan 1963,5.7
Feb 1963,5.9
Mar 1963,5.7
Apr 1963,5.7
May 1963,5.9
Jun 1963,5.6
Jul 1963,5.6
Aug 1963,5.4
Sep 1963,5.5
Oct 1963,5.5
Nov 1963,5.7
Dec 1963,5.5
Jan 1964,5.6
Feb 1964,5.4
Mar 1964,5.4
Apr 1964,5.3
May 1964,5.1
Jun 1964,5.2
Jul 1964,4.9
Aug 1964,5
Sep 1964,5.1
Oct 1964,5.1
Nov 1964,4.8
Dec 1964,5
Jan 1965,4.9
Feb 1965,5.1
Mar 1965,4.7
Apr 1965,4.8
May 1965,4.6
Jun 1965,4.6
Jul 1965,4.4
Aug 1965,4.4
Sep 1965,4.3
Oct 1965,4.2
Nov 1965,4.1
Dec 1965,4
Jan 1966,4
Feb 1966,3.8
Mar 1966,3.8
Apr 1966,3.8
May 1966,3.9
Jun 1966,3.8
Jul 1966,3.8
Aug 1966,3.8
Sep 1966,3.7
Oct 1966,3.7
Nov 1966,3.6
Dec 1966,3.8
Jan 1967,3.9
Feb 1967,3.8
Mar 1967,3.8
Apr 1967,3.8
May 1967,3.8
Jun 1967,3.9
Jul 1967,3.8
Aug 1967,3.8
Sep 1967,3.8
Oct 1967,4
Nov 1967,3.9
Dec 1967,3.8
Jan 1968,3.7
Feb 1968,3.8
Mar 1968,3.7
Apr 1968,3.5
May 1968,3.5
Jun 1968,3.7
Jul 1968,3.7
Aug 1968,3.5
Sep 1968,3.4
Oct 1968,3.4
Nov 1968,3.4
Dec 1968,3.4
Jan 1969,3.4
Feb 1969,3.4
Mar 1969,3.4
Apr 1969,3.4
May 1969,3.4
Jun 1969,3.5
Jul 1969,3.5
Aug 1969,3.5
Sep 1969,3.7
Oct 1969,3.7
Nov 1969,3.5
Dec 1969,3.5
Jan 1970,3.9
Feb 1970,4.2
Mar 1970,4.4
Apr 1970,4.6
May 1970,4.8
Jun 1970,4.9
Jul 1970,5
Aug 1970,5.1
Sep 1970,5.4
Oct 1970,5.5
Nov 1970,5.9
Dec 1970,6.1
Jan 1971,5.9
Feb 1971,5.9
Mar 1971,6
Apr 1971,5.9
May 1971,5.9
Jun 1971,5.9
Jul 1971,6
Aug 1971,6.1
Sep 1971,6
Oct 1971,5.8
Nov 1971,6
Dec 1971,6
Jan 1972,5.8
Feb 1972,5.7
Mar 1972,5.8
Apr 1972,5.7
May 1972,5.7
Jun 1972,5.7
Jul 1972,5.6
Aug 1972,5.6
Sep 1972,5.5
Oct 1972,5.6
Nov 1972,5.3
Dec 1972,5.2
Jan 1973,4.9
Feb 1973,5
Mar 1973,4.9
Apr 1973,5
May 1973,4.9
Jun 1973,4.9
Jul 1973,4.8
Aug 1973,4.8
Sep 1973,4.8
Oct 1973,4.6
Nov 1973,4.8
Dec 1973,4.9
Jan 1974,5.1
Feb 1974,5.2
Mar 1974,5.1
Apr 1974,5.1
May 1974,5.1
Jun 1974,5.4
Jul 1974,5.5
Aug 1974,5.5
Sep 1974,5.9
Oct 1974,6
Nov 1974,6.6
Dec 1974,7.2
Jan 1975,8.1
Feb 1975,8.1
Mar 1975,8.6
Apr 1975,8.8
May 1975,9
Jun 1975,8.8
Jul 1975,8.6
Aug 1975,8.4
Sep 1975,8.4
Oct 1975,8.4
Nov 1975,8.3
Dec 1975,8.2
Jan 1976,7.9
Feb 1976,7.7
Mar 1976,7.6
Apr 1976,7.7
May 1976,7.4
Jun 1976,7.6
Jul 1976,7.8
Aug 1976,7.8
Sep 1976,7.6
Oct 1976,7.7
Nov 1976,7.8
Dec 1976,7.8
Jan 1977,7.5
Feb 1977,7.6
Mar 1977,7.4
Apr 1977,7.2
May 1977,7
Jun 1977,7.2
Jul 1977,6.9
Aug 1977,7
Sep 1977,6.8
Oct 1977,6.8
Nov 1977,6.8
Dec 1977,6.4
Jan 1978,6.4
Feb 1978,6.3
Mar 1978,6.3
Apr 1978,6.1
May 1978,6
Jun 1978,5.9
Jul 1978,6.2
Aug 1978,5.9
Sep 1978,6
Oct 1978,5.8
Nov 1978,5.9
Dec 1978,6
Jan 1979,5.9
Feb 1979,5.9
Mar 1979,5.8
Apr 1979,5.8
May 1979,5.6
Jun 1979,5.7
Jul 1979,5.7
Aug 1979,6
Sep 1979,5.9
Oct 1979,6
Nov 1979,5.9
Dec 1979,6
Jan 1980,6.3
Feb 1980,6.3
Mar 1980,6.3
Apr 1980,6.9
May 1980,7.5
Jun 1980,7.6
Jul 1980,7.8
Aug 1980,7.7
Sep 1980,7.5
Oct 1980,7.5
Nov 1980,7.5
Dec 1980,7.2
Jan 1981,7.5
Feb 1981,7.4
Mar 1981,7.4
Apr 1981,7.2
May 1981,7.5
Jun 1981,7.5
Jul 1981,7.2
Aug 1981,7.4
Sep 1981,7.6
Oct 1981,7.9
